[2024-09-29 08:33:28] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-29 08:33:28] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, create_zip_archive, wrapup
[2024-09-29 08:33:28] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-09-29 08:33:31] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-09-29 08:33:31] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-09-29 08:33:31] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-09-29 08:33:33] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\test2/wp-content/uploads\simply-static\temp-files/simply-static-1-1727598808\
[2024-09-29 08:33:33] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/test2/
[2024-09-29 08:33:33] [class-ss-setup-task.php:137] File C:\xampp\htdocs\test2\wp-content\plugins\simply-static//src/integrations/simply-cdn/assets/ssh-form-webhook.js exists; adding to queue as: C:/xampp/htdocs/test2/wp-content/plugins/simply-static//src/integrations/simply-cdn/assets/ssh-form-webhook.js
[2024-09-29 08:33:33] [class-yoast-integration.php:79] Adding sitemap URL to queue: http://localhost/test2/sitemap.xml
[2024-09-29 08:33:33] [class-yoast-integration.php:79] Adding sitemap URL to queue: http://localhost/test2/sitemap_index.xml
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2
[2024-09-29 08:33:33] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.js
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.js
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css
[2024-09-29 08:33:34] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/test2/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css
